avantages_inconvenients;avis_commentaire;avis_etat_emploi;avis_localisation;avis_note;fichier_source;id_avis_soc;nom_societe;note_moyenne
Avantages : Sujets innovants, soin et attention portés aux collaborateurs, ambiance de travail Inconvénients : aucun inconvénient. La direction est à l'écoute de ses employés.;Je travaille chez Devoteam à temps plein depuis plus de 3 ans;Employé actuel - Senior Manager;Levallois-Perret;5;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;1;Devoteam;4.1
NULL NULL;Je travaille chez Dassault Systemes à temps plein depuis plus de 8 ans;Employé actuel - Ingénieur R&D;Vélizy;2;13558-AVIS-SOC-GLASSDOOR-E6162_P2.html;10;Dassault Systemes;3.7
Avantages : beaucoup d'autonomie une bonne ambiance entre l'équipe Inconvénients : public ,motivation et salaire pas assez;J'ai travaillé chez cerema à temps plein plus d'un an;Ancien stagiaire - Ingénieur R&D;Angers;2;13668-AVIS-SOC-GLASSDOOR-E1127933_P1.html;100;cerema;3.9
Avantages : la diversité des profils une opportunité pour apprendre et découvrir le métier de la recherche scientifique dans le but de résoudre des problèmes du quotidien Inconvénients : Manque d'organisation la restauration est trop chère pour un stagiaire;J'ai travaillé chez cerema à;Ancien stagiaire - Stagiaire anonyme;;3;13668-AVIS-SOC-GLASSDOOR-E1127933_P2.html;101;cerema;3.9
Avantages : Aucun avantages vu l’indifference De la Dirsction vis à vis des collaborateurs Inconvénients : Aucune considération, une Direction Générale avec qui il est impossible de dialoguer, un service des Ressources Humaines géré par une incompétente qui pense révolutionner le secteur....;J'ai travaillé chez Paris Inn Group à temps plein plus de 3 ans;Ancien employé - Employé anonyme;Paris;4;13673-AVIS-SOC-GLASSDOOR-E1464013_P1.html;102;Paris Inn Group;2.2
Avantages : Aucun avantage à travailler pour Pais Inn Group. Beaucoup d'efforts et d'investissement personnel qui ne sont jamais récompensés Inconvénients : Salaires Bas, horaires à ralonge même si nous sommes dans l'hôtellerie L'ambiance est tendue avec es équipes constamment sous pression;J'ai travaillé chez Paris Inn Group à;Réceptionniste;;1;13673-AVIS-SOC-GLASSDOOR-E1464013_P2.html;103;Paris Inn Group;2.2
Avantages : 50% du pass Navigo/imagin'R Bonne ambiance de travail/open space Accès au restaurant d'entreprise Inconvénients : Il faut tomber sur un bon maître de stage Rémunération minimum pour un stage Tickets restaurants à partir de 3 mois de présence dans l'entreprise;J'ai travaillé chez Groupe Altice Média à temps plein;Ancien employé - Employé anonyme;Paris;2;13676-AVIS-SOC-GLASSDOOR-E1130981_P1.html;104;Groupe Altice Média;3.4
Avantages : Une ambiance sportive Des opportunitées & missions multiples Inconvénients : Difficultés de communication intermarques et interdépartements;J'ai travaillé chez CALIDA Group à;Ancien stagiaire - Stagiaire Marketing;Annecy-le-Vieux;4;13677-AVIS-SOC-GLASSDOOR-E1063459_P1.html;105;CALIDA Group;4.0
Avantages : avantage si on peut parler en ces mots, présent dans les top list des grands groupes... Inconvénients : relation entre le commercial et le collaborateur qui laisse à désirer. des mails qui sont répondus au bon de la deuxième ou troisième relance, obligé de mettre des ultimatums pour avoir des réponses. après je pense que ca reste du cas par cas. CEE pas intéressant, peu d'activités avec la société esn moyenne.;J'ai travaillé chez Logware à temps plein moins d'un an;Ancien employé - Chef De Projet;;2;13678-AVIS-SOC-GLASSDOOR-E379472_P1.html;106;Logware;3.6
Avantages : Suivi des consultants Ambiance générale Esprit familial Inconvénients : La vétusté des locaux du siège.;Je travaille chez Logware à temps plein depuis plus de 5 ans;Employé actuel - Employé anonyme;Paris;3;13678-AVIS-SOC-GLASSDOOR-E379472_P2.html;107;Logware;3.6
Avantages : Un bon équilibre vie professionnelle – vie privée Inconvénients : Micro management, pas de vrai processus. Travail en silos.;Je travaille chez Fortuneo SA à temps plein depuis plus d'un an;Employé actuel - Anonymous;Brest;2;13679-AVIS-SOC-GLASSDOOR-E906809_P1.html;108;Fortuneo SA;3.5
NULL NULL;Je travaille chez Fortuneo SA à depuis plus de 3 ans;Intérimaire actuel - gestionnaire middle office;Brest;3;13679-AVIS-SOC-GLASSDOOR-E906809_P2.html;109;Fortuneo SA;3.5
Avantages : école sérieuse, formant de bons ingénieurs, reconnu auprès de l'industrie Inconvénients : relation avec le corps enseignant;Je travaille chez SolidWorks à temps plein depuis plus de 3 ans;Employé actuel - Employé anonyme;Metz;4;13559-AVIS-SOC-GLASSDOOR-E13824_P1.html;11;SolidWorks;3.5
