date_creation_entreprise;fichier_source;id_soc;nom_societe;secteur_entreprise;siege_social_entreprise;taille_entreprise;type_entreprise;ville_entreprise
 1995;13546-INFO-SOC-GLASSDOOR-E12966_P1.html;1;Devoteam; Services informatiques;Levallois-Perret;De 1 001 à 5 000 employés; Entreprise cotée en bourse;Levallois-Perret
 1983;13563-INFO-SOC-GLASSDOOR-E13082_P1.html;10;CEGID; Solutions logicielles et réseau d'entreprise;Lyon;De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Lyon
 1988;13728-INFO-SOC-GLASSDOOR-E200717_P1.html;100;Astek; Services informatiques;Paris;De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Paris
 Inconnu;13729-INFO-SOC-GLASSDOOR-E234791_P1.html;101;Astek Group; Fabrication de produits de soins de santé;Altrincham, Angleterre (Royaume-Uni);De 1 à 50 employés; Entreprise cotée en bourse (AKG) ;Altrincham, Angleterre (Royaume-Uni)
 1996;13732-INFO-SOC-GLASSDOOR-E158808_P1.html;102;Keyrus Group; Services informatiques;Levallois-Perret;De 1 001 à 5 000 employés; Entreprise cotée en bourse (KEY.PA) ;Levallois-Perret
 1993;13733-INFO-SOC-GLASSDOOR-E852040_P1.html;103;Yongzhi Plastic Electronics (Shenzhen) Co.; Fabrication industrielle;Hong Kong (Hong Kong);Entre 201 et 500 employés; Entreprise non cotée en bourse;Hong Kong (Hong Kong)
 2000;13734-INFO-SOC-GLASSDOOR-E10358_P1.html;104;Thales; Aérospatiale et Défense;Nanterre;Plus de 10 000 employés; Entreprise cotée en bourse (HO) ;Nanterre
 2001;13736-INFO-SOC-GLASSDOOR-E410527_P1.html;105;Thales-Raytheon Systems; Gestion des transports;Fullerton, CA (États-Unis);De 501 à 1 000 employés; Entreprise non cotée en bourse;Fullerton, CA (États-Unis)
 Entreprise non cotée en bourse;13737-INFO-SOC-GLASSDOOR-E2947949_P1.html;106;L&T Thales Technology Services; Ne sait pas / non applicable par an;Plus de 10 000 employés; Inconnu; Inconnu;Plus de 10 000 employés
 2002;13741-INFO-SOC-GLASSDOOR-E1132227_P1.html;107;JEMS Group; Services informatiques;Neuilly;Entre 201 et 500 employés; Entreprise non cotée en bourse;Neuilly
 1967;13745-INFO-SOC-GLASSDOOR-E3803_P1.html;108;Capgemini; Solutions logicielles et réseau d'entreprise;Paris;Plus de 10 000 employés; Entreprise cotée en bourse (CAP) ;Paris
"<a href=""/Présentation/Travailler-chez-Capgemini-EI_IE3803.16,25.htm"">Capgemini</a>";13746-INFO-SOC-GLASSDOOR-E589990_P1.html;109;Capgemini Invent; Entreprise cotée en bourse;Courbevoie;De 5 001 à 10 000 employés; 2009;Courbevoie
 1863;13564-INFO-SOC-GLASSDOOR-E4245_P1.html;11;Bayer; Biotechnologies et pharmaceutique;Leverkusen (Allemagne);Plus de 10 000 employés; Entreprise cotée en bourse (BAYN) ;Leverkusen (Allemagne)
 1989;13753-INFO-SOC-GLASSDOOR-E13339_P1.html;110;Open; Services d'architecture et d'ingénierie;Levallois-Perret;De 1 001 à 5 000 employés; Entreprise cotée en bourse (OPN) ;Levallois-Perret
 Inconnu;13755-INFO-SOC-GLASSDOOR-E1762947_P1.html;111;Open Minds Open Hearts Day Care; Inconnu;New Orleans, LA (États-Unis);De 1 à 50 employés; Entreprise cotée en bourse;New Orleans, LA (États-Unis)
 1992;13758-INFO-SOC-GLASSDOOR-E5694_P1.html;112;OpenText; Solutions logicielles et réseau d'entreprise;Waterloo, ON (Canada);Plus de 10 000 employés; Entreprise cotée en bourse (OTEX) ;Waterloo, ON (Canada)
 2008;13760-INFO-SOC-GLASSDOOR-E1194086_P1.html;113;Open Sourcing; Recrutement et sous-traitance;Paris;De 1 à 50 employés; Entreprise non cotée en bourse;Paris
 Inconnu;13761-INFO-SOC-GLASSDOOR-E1366034_P1.html;114;Artefact; Conseils;Paris;De 501 à 1 000 employés; Entreprise cotée en bourse;Paris
 2006;13762-INFO-SOC-GLASSDOOR-E253138_P1.html;115;Artefact Group; Conseils;Seattle, WA (États-Unis);De 51 à 200 employés; Entreprise non cotée en bourse;Seattle, WA (États-Unis)
 2003;13764-INFO-SOC-GLASSDOOR-E1164584_P1.html;116;Artefacts Studio; Inconnu;Villeurbanne;De 1 à 50 employés; Entreprise non cotée en bourse;Villeurbanne
 Inconnu;13767-INFO-SOC-GLASSDOOR-E1387356_P1.html;117;Openfield Live; Inconnu;Paris;De 1 à 50 employés; Cabinet / Société du secteur privé;Paris
