experience_emp;fichier_source;fonction_emp;formation_emp;lieu_emp;missions_emp;niveau_hierarchique;nom_societe_gemini;nom_societe_scrap;secteur_emp;soft_skills_emp;technos_emp;titre_emp;type_emp
NULL;13546-INFO-EMP-LINKEDIN-FR-1599984246.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Freelance-info.fr;Technologies de l’information;NULL;NULL;Ingénieur Expert(e) Talend (H/F) / Freelance;Temps plein
NULL;13555-INFO-EMP-LINKEDIN-FR-1602837931.html;Technologies de l’information;NULL;Lyon Area, France;NULL;Manager;NULL;Capgemini;Technologies et services de l’information;NULL;NULL;Lead Python Big Data H/F;Temps plein
NULL;13645-INFO-EMP-LINKEDIN-FR-1613335492.html;Autre;NULL;Montrouge, Île-de-France, France;NULL;Premier emploi;NULL;Groupe Crédit Agricole;Technologies de l’information;NULL;NULL;Data Scientist;Temps plein
NULL;13646-INFO-EMP-LINKEDIN-FR-1599903216.html;Ingénierie;NULL;Paris La Défense, Île-de-France, France;NULL;Confirmé;NULL;Altran;Analyste;NULL;NULL;Data Scientist;Temps plein
NULL;13647-INFO-EMP-LINKEDIN-FR-1607874932.html;Marketing;NULL;Roubaix, Nord-Pas-de-Calais, France;NULL;Confirmé;NULL;La Redoute;Technologies de l’information;NULL;NULL;Data Scientist (H/F);Temps plein
NULL;13648-INFO-EMP-LINKEDIN-FR-1644396429.html;Ingénierie;NULL;Région de Paris, France;NULL;Confirmé;NULL;Openvalue;Technologies de l’information;NULL;NULL;Data Scientist;Temps plein
NULL;13649-INFO-EMP-LINKEDIN-FR-1602629908.html;Technologies de l’information;NULL;Malakoff, FR;NULL;Premier emploi;NULL;Openfield;Gestion des associations et fondations;NULL;NULL;Data Engineer (H/F) – Stage / Alternance;Temps plein
NULL;13650-INFO-EMP-LINKEDIN-FR-1586966832.html;Ingénierie;NULL;Neuilly-sur-Seine, FR;NULL;Premier emploi;NULL;SEPHORA;Technologies de l’information;NULL;NULL;CDI - DATA SCIENTIST (F/H);Temps plein
NULL;13651-INFO-EMP-LINKEDIN-FR-1602795809.html;Technologies de l’information;NULL;Paris, FR;NULL;Stagiaire;NULL;Artefact;Marketing et publicité;NULL;NULL;Intern Data Consultant;Stagiaire / Alternant
NULL;13652-INFO-EMP-LINKEDIN-FR-1602923328.html;Ingénierie;NULL;Paris, FR;NULL;Stagiaire;NULL;Artefact;Technologies de l’information;NULL;NULL;Intern Data Scientist;Stagiaire / Alternant
NULL;13653-INFO-EMP-LINKEDIN-FR-1599900563.html;Technologies de l’information;NULL;Région de Paris, France;NULL;Confirmé;NULL;Morgan Philips Group;Articles de luxe et bijouterie;NULL;NULL;Architecte Urbaniste d’Entreprise;Temps plein
NULL;13654-INFO-EMP-LINKEDIN-FR-1599900656.html;Technologies de l’information;NULL;Région de Paris, France;NULL;Confirmé;NULL;Approach People Recruitment;Divertissements;NULL;NULL;Super opportunité pour Data Engineer – Pure player Foodtech – H/F;Temps plein
NULL;13556-INFO-EMP-LINKEDIN-FR-1637899355.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Alptis;Technologies de l’information;NULL;NULL;Stagiaire Data Science H/F;Temps plein
NULL;13655-INFO-EMP-LINKEDIN-FR-1583070005.html;Technologies de l’information;NULL;Région de Paris, France;NULL;Confirmé;NULL;Thales;Technologies et services de l’information;NULL;NULL;Ingénieur JAVA / Angular -  Confirmé H/F;Temps plein
NULL;13656-INFO-EMP-LINKEDIN-FR-1582174574.html;Conseil;NULL;Région de Paris, France;NULL;Confirmé;NULL;D2SI;Technologies de l’information;NULL;NULL;Big data Engineer;Temps plein
NULL;13657-INFO-EMP-LINKEDIN-FR-1599221020.html;Technologies de l’information;NULL;Issy-les-Moulineaux, Île-de-France, France;NULL;Premier emploi;NULL;Accor;Hôtellerie et hébergement;NULL;NULL;Data Engineer (H/F);Temps plein
NULL;13658-INFO-EMP-LINKEDIN-FR-1582187354.html;Ingénierie;NULL;Région de Paris, France;NULL;Confirmé;NULL;Aubay France;Conseil;NULL;NULL;Big Data Engineer;Temps plein
NULL;13659-INFO-EMP-LINKEDIN-FR-1622604073.html;Ingénierie;NULL;Paris, FR;NULL;Premier emploi;NULL;LVMH;Technologies de l’information;NULL;NULL;Stage - Data Scientist H/F;Temps plein
