fichier_source;id_soc;nom_societe;taille_entreprise;ville_entreprise
13546-INFO-SOC-GLASSDOOR-E12966_P1.html;1;Devoteam;De 1 001 à 5 000 employés;Levallois-Perret
13563-INFO-SOC-GLASSDOOR-E13082_P1.html;10;CEGID;De 1 001 à 5 000 employés;Lyon
13728-INFO-SOC-GLASSDOOR-E200717_P1.html;100;Astek;De 1 001 à 5 000 employés;Paris
13729-INFO-SOC-GLASSDOOR-E234791_P1.html;101;Astek Group;De 1 à 50 employés;Altrincham, Angleterre (Royaume-Uni)
13732-INFO-SOC-GLASSDOOR-E158808_P1.html;102;Keyrus Group;De 1 001 à 5 000 employés;Levallois-Perret
13733-INFO-SOC-GLASSDOOR-E852040_P1.html;103;Yongzhi Plastic Electronics (Shenzhen) Co.;Entre 201 et 500 employés;Hong Kong (Hong Kong)
13734-INFO-SOC-GLASSDOOR-E10358_P1.html;104;Thales;Plus de 10 000 employés;Nanterre
13736-INFO-SOC-GLASSDOOR-E410527_P1.html;105;Thales-Raytheon Systems;De 501 à 1 000 employés;Fullerton, CA (États-Unis)
13737-INFO-SOC-GLASSDOOR-E2947949_P1.html;106;L&T Thales Technology Services; Inconnu;Plus de 10 000 employés
13741-INFO-SOC-GLASSDOOR-E1132227_P1.html;107;JEMS Group;Entre 201 et 500 employés;Neuilly
13745-INFO-SOC-GLASSDOOR-E3803_P1.html;108;Capgemini;Plus de 10 000 employés;Paris
13746-INFO-SOC-GLASSDOOR-E589990_P1.html;109;Capgemini Invent;De 5 001 à 10 000 employés;Courbevoie
13564-INFO-SOC-GLASSDOOR-E4245_P1.html;11;Bayer;Plus de 10 000 employés;Leverkusen (Allemagne)
13753-INFO-SOC-GLASSDOOR-E13339_P1.html;110;Open;De 1 001 à 5 000 employés;Levallois-Perret
13755-INFO-SOC-GLASSDOOR-E1762947_P1.html;111;Open Minds Open Hearts Day Care;De 1 à 50 employés;New Orleans, LA (États-Unis)
13758-INFO-SOC-GLASSDOOR-E5694_P1.html;112;OpenText;Plus de 10 000 employés;Waterloo, ON (Canada)
13760-INFO-SOC-GLASSDOOR-E1194086_P1.html;113;Open Sourcing;De 1 à 50 employés;Paris
13761-INFO-SOC-GLASSDOOR-E1366034_P1.html;114;Artefact;De 501 à 1 000 employés;Paris
13762-INFO-SOC-GLASSDOOR-E253138_P1.html;115;Artefact Group;De 51 à 200 employés;Seattle, WA (États-Unis)
13764-INFO-SOC-GLASSDOOR-E1164584_P1.html;116;Artefacts Studio;De 1 à 50 employés;Villeurbanne
13767-INFO-SOC-GLASSDOOR-E1387356_P1.html;117;Openfield Live;De 1 à 50 employés;Paris
13769-INFO-SOC-GLASSDOOR-E658429_P1.html;118;Phaidon International;De 501 à 1 000 employés;Londres, Angleterre (Royaume-Uni)
13770-INFO-SOC-GLASSDOOR-E1013306_P1.html;119;D2SI;De 51 à 200 employés;Paris
13570-INFO-SOC-GLASSDOOR-E1394648_P1.html;12;Abaka;De 1 à 50 employés;Rennes
13771-INFO-SOC-GLASSDOOR-E1125581_P1.html;120;Adthink-Media;De 51 à 200 employés;Tassin
13772-INFO-SOC-GLASSDOOR-E3974_P1.html;121;SKF;Plus de 10 000 employés;Gothenburg (Suède)
13777-INFO-SOC-GLASSDOOR-E116383_P1.html;122;GFI;De 51 à 200 employés;Moscou (Russie)
13778-INFO-SOC-GLASSDOOR-E9028_P1.html;123;Gfi Informatique;Plus de 10 000 employés;Saint-Ouen, Île-de-France
13779-INFO-SOC-GLASSDOOR-E33451_P1.html;124;GFI Software;De 51 à 200 employés;Austin, TX (États-Unis)
13780-INFO-SOC-GLASSDOOR-E35333_P1.html;125;GFI Group;De 1 001 à 5 000 employés;New York, NY (États-Unis)
13783-INFO-SOC-GLASSDOOR-E231247_P1.html;126;ACCEO Solutions;De 501 à 1 000 employés;Montréal, QC (Canada)
13787-INFO-SOC-GLASSDOOR-E35333_P1.html;127;GFI Group;De 1 001 à 5 000 employés;New York, NY (États-Unis)
13790-INFO-SOC-GLASSDOOR-E9028_P1.html;128;Gfi Informatique;Plus de 10 000 employés;Saint-Ouen, Île-de-France
13791-INFO-SOC-GLASSDOOR-E116383_P1.html;129;GFI;De 51 à 200 employés;Moscou (Russie)
13571-INFO-SOC-GLASSDOOR-E1061225_P1.html;13;Expertime;De 51 à 200 employés;Viroflay
13792-INFO-SOC-GLASSDOOR-E33451_P1.html;130;GFI Software;De 51 à 200 employés;Austin, TX (États-Unis)
13795-INFO-SOC-GLASSDOOR-E231247_P1.html;131;ACCEO Solutions;De 501 à 1 000 employés;Montréal, QC (Canada)
13796-INFO-SOC-GLASSDOOR-E3054_P1.html;132;Accor;Plus de 10 000 employés;Paris
13800-INFO-SOC-GLASSDOOR-E1443740_P1.html;133;ibis;Plus de 10 000 employés;Courcouronnes
13801-INFO-SOC-GLASSDOOR-E736804_P1.html;134;La Redoute;De 1 001 à 5 000 employés;Roubaix
13802-INFO-SOC-GLASSDOOR-E3127620_P1.html;135;LA REDOUTE;Inconnu;Roubaix
13803-INFO-SOC-GLASSDOOR-E20114_P1.html;136;Veolia;Plus de 10 000 employés;Paris
13805-INFO-SOC-GLASSDOOR-E846722_P1.html;137;OTV;Plus de 10 000 employés;Saint-Maurice, Alsace
13806-INFO-SOC-GLASSDOOR-E2701639_P1.html;138;Veolia Water Tech; Inconnu;Inconnu
13807-INFO-SOC-GLASSDOOR-E1260894_P1.html;139;Groupe NICOLLIN - Groupe VEOLIA;Inconnu;Saint-Fons
13572-INFO-SOC-GLASSDOOR-E2098670_P1.html;14;Adsearch;De 51 à 200 employés;Paris
13809-INFO-SOC-GLASSDOOR-E413452_P1.html;140;Transdev;Plus de 10 000 employés;Lombard, IL (États-Unis)
13574-INFO-SOC-GLASSDOOR-E1130973_P1.html;15;Groupe Adéquat;De 501 à 1 000 employés;Lyon
13575-INFO-SOC-GLASSDOOR-E1922609_P1.html;16;Multimedia France Productions;De 51 à 200 employés;Paris
13576-INFO-SOC-GLASSDOOR-E18712_P1.html;17;Modis;De 5 001 à 10 000 employés;Zurich (Suisse)
13577-INFO-SOC-GLASSDOOR-E235143_P1.html;18;UK Ministry of Defence;Plus de 10 000 employés;Londres, Angleterre (Royaume-Uni)
13584-INFO-SOC-GLASSDOOR-E1044716_P1.html;19;Smile Group;De 1 001 à 5 000 employés;Asnières-sur-Seine
13550-INFO-SOC-GLASSDOOR-E10686_P1.html;2;Atos;Plus de 10 000 employés;Bezons
13585-INFO-SOC-GLASSDOOR-E13058_P1.html;20;Cegedim;De 1 001 à 5 000 employés;Boulogne-Billancourt
13586-INFO-SOC-GLASSDOOR-E649071_P1.html;21;Groupe Creative;Entre 201 et 500 employés;Rennes
